location,subject,year,creator,type,attribution,village-stenciled,taupe-barn,steamboat,hat-tree,birds,fallen-tree,pair-tree,horses,dogs,deer,militia,farm,ferns,white-house,three-buildings,nocenter-tree,chair-rail,fence,skiff,village-handpaint,cows,windmill,observatory,woods,octagon,waterfall,border-stenciled,man-shooting,red-house,orchard,sumac,signpost,galleon,moountains,half-tree,sailboats
"South Bridgton, ME",Ingalls House,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Georgetown, MA",Pingree House,1832,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Georgetown, MA",John C. Wilkins House,1832,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charlestown, MA",Levi Prosser House,1835,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Reading, MA",House near Route 28,1835,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wakefield, MA",Franklin Poole House,1835,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wakefield, MA",Kenneth Odiorne House,1835,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hancock, NH",John Hancock Inn,1825,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wakefield, MA",Emerson House,1835,Rufus Porter,mural,signed,,,,,,,,,,,,T,,T,T,,,T,,,T,,,,T,T,,,,,,,,,,T
"Standish, ME",Warren Pederson House,1830,Jonathan D. Poor,mural,signed,T,T,,,,,T,,,,,,,T,,T,,,,,,,,,,,,,T,,T,T,T,,T,T
"Readfield, ME",Judge Bean House,1835,Jonathan D. Poor,mural,signed,,T,,,,T,,,,,,,,T,,,,,,,,,T,T,,,,,,T,T,,T,,,T
"Parsonfield, ME",Dalton House,1830,Jonathan D. Poor,mural,signed,,,,T,,T,,T,,,,,,T,,,,,T,,,,,,,,,,,T,T,,T,,,T
