subject,town,state,year,creator,type,attribution,image,img_src,location,popup,icon,choice,lat,lng,geometry
Kent-Mativia House,Lyme,NH,1825,Porter School,mural,Lipman,https://upload.wikimedia.org/wikipedia/commons/5/5a/Rufus_Porter_mural_-_Kent_House%2C_Lyme%2C_New_Hampshire.jpg,Wikimedia Commons,"Lyme, NH","<b>Kent-Mativia House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='https://upload.wikimedia.org/wikipedia/commons/5/5a/Rufus_Porter_mural_-_Kent_House%2C_Lyme%2C_New_Hampshire.jpg', width = '200'><br><small>Image from Wikimedia Commons</small>",school,school,43.8120283283029,-72.1423856853636,"c(43.8120283283029, -72.1423856853636)"
Asher Tarbell House,Mason,NH,1825,Porter School,mural,Lipman,NA,NA,"Mason, NH","<b>Asher Tarbell House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.7394669366684,-71.7666374657553,"c(42.7394669366684, -71.7666374657553)"
Jonathan Batchelder House,Mason,NH,1825,Porter School,mural,Lipman,NA,NA,"Mason, NH","<b>Jonathan Batchelder House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.7470537490447,-71.7702371018526,"c(42.7470537490447, -71.7702371018526)"
Joseph Saunders House,Mason,NH,1825,Porter School,mural,Lipman,NA,NA,"Mason, NH","<b>Joseph Saunders House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.7450323849829,-71.7672443331514,"c(42.7450323849829, -71.7672443331514)"
Solomon Russell House,New Ipswich,NH,1825,Porter School,mural,Lipman,NA,NA,"New Ipswich, NH","<b>Solomon Russell House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.7366186004531,-71.8880171013719,"c(42.7366186004531, -71.8880171013719)"
Gardner Davis House,New Ipswich,NH,1825,Porter School,mural,Lipman,NA,NA,"New Ipswich, NH","<b>Gardner Davis House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.7402239128657,-71.8789570838215,"c(42.7402239128657, -71.8789570838215)"
Gould-Chickering House,New Ipswich,NH,1825,Porter School,mural,Lipman,NA,NA,"New Ipswich, NH","<b>Gould-Chickering House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.7332846163258,-71.8940512116315,"c(42.7332846163258, -71.8940512116315)"
Daniel Carr House,North Haverhill,NH,1825,Porter School,mural,Lipman,https://docs.google.com/drawings/d/e/2PACX-1vQMz93gzU8H-0a56RNXAaYX7unjCKHDK39C8f7fgeYav6u6n561LpboDhzFonf4C8aJxMlqvGNbfZfV/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,"North Haverhill, NH","<b>Daniel Carr House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQMz93gzU8H-0a56RNXAaYX7unjCKHDK39C8f7fgeYav6u6n561LpboDhzFonf4C8aJxMlqvGNbfZfV/pub?w=960&h=720', width = '200'><br><small>Image from <em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",school,school,44.0878424813763,-72.0240866622278,"c(44.0878424813763, -72.0240866622278)"
Harold Kimball House,North Haverhill,NH,1825,Porter School,mural,Lipman,NA,NA,"North Haverhill, NH","<b>Harold Kimball House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,44.0823490275664,-72.0252611840584,"c(44.0823490275664, -72.0252611840584)"
Leslie Lackie House,North Haverhill,NH,1825,Porter School,mural,Lipman,NA,NA,"North Haverhill, NH","<b>Leslie Lackie House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,44.0853587764025,-72.0241175027977,"c(44.0853587764025, -72.0241175027977)"
