town,state,year,subject,creator,type,attribution,image,fig_num,location,popup,lng,lat,icon,choice
New Ipswich,NH,1825,Gardner Davis House,Porter School,mural,Lipman,NA,"58, 59","New Ipswich, NH","<b> New Ipswich, NH </b> <br> Porter School <br> Gardner Davis House",-71.8795462846384,42.7465457831153,school,school
New Ipswich,NH,1825,Gould-Chickering House,Porter School,mural,Lipman,NA,NA,"New Ipswich, NH","<b> New Ipswich, NH </b> <br> Porter School <br> Gould-Chickering House",-71.88354760697,42.736360380037,school,school
North Haverhill,NH,1825,Daniel Carr House,Porter School,mural,Lipman,NA,"67, 68","North Haverhill, NH","<b> North Haverhill, NH </b> <br> Porter School <br> Daniel Carr House",-72.0175231031889,44.0760986581669,school,school
North Haverhill,NH,1825,Harold Kimball House,Porter School,mural,Lipman,NA,NA,"North Haverhill, NH","<b> North Haverhill, NH </b> <br> Porter School <br> Harold Kimball House",-72.0136773594777,44.0899816675407,school,school
North Haverhill,NH,1825,Leslie Lackie House,Porter School,mural,Lipman,NA,NA,"North Haverhill, NH","<b> North Haverhill, NH </b> <br> Porter School <br> Leslie Lackie House",-72.0176064215784,44.0973936692105,school,school
Orford,NH,1824,Beale House,Porter School,mural,Lipman,NA,NA,"Orford, NH","<b> Orford, NH </b> <br> Porter School <br> Beale House",-72.1406066943073,43.9106223747273,school,school
Topsham,VT,1831,Elwin Chase House,Porter School,mural,Lipman,NA,color plate 10,"Topsham, VT","<b> Topsham, VT </b> <br> Porter School <br> Elwin Chase House",-72.2477575854114,44.1166752736434,school,school
Princeton,MA,1833,Colonel Jacob W. Watson,Rufus Porter,portrait,MFA,"""images/colonel_watson.jpg""",NA,"Princeton, MA","<b> Princeton, MA </b> <br> Rufus Porter <br> Colonel Jacob W. Watson",-71.8759338795596,42.4538797651908,portrait,RP
Princeton,MA,1833,Lydia Watson,Rufus Porter,portrait,MFA,"""images/lydia_watson.jpg""",NA,"Princeton, MA","<b> Princeton, MA </b> <br> Rufus Porter <br> Lydia Watson",-71.8795813216053,42.4352083460229,portrait,RP
Minot,ME,1815,Jacob Davis,Rufus Porter,portrait,MFA,"""images/jacob_davis.jpg""",NA,"Minot, ME","<b> Minot, ME </b> <br> Rufus Porter <br> Jacob Davis",-70.3508513915319,44.1586136814316,portrait,RP
Winthrop,ME,1830,Captain Samuel Benjamin House,Porter School,mural,MSM,NA,color plate 13,"Winthrop, ME","<b> Winthrop, ME </b> <br> Porter School <br> Captain Samuel Benjamin House",-69.968848392252,44.3083284351091,school,school
Sturbridge,MA,1830,Oliver Wight House,Porter School,mural,OSV,NA,NA,"Sturbridge, MA","<b> Sturbridge, MA </b> <br> Porter School <br> Oliver Wight House",-72.0859047993225,42.1160138920975,school,school
Chelmsford,MA,1825,Nathan Peabody Ames,Rufus Porter,portrait,RPM,NA,NA,"Chelmsford, MA","<b> Chelmsford, MA </b> <br> Rufus Porter <br> Nathan Peabody Ames",-71.3647027017141,42.6088961361665,portrait,RP
