town,state,year,subject,creator,type,attribution,image,fig_num,location,popup,geometry,icon
Wakefield,MA,1835,Winn House,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b> Wakefield, MA </b> <br> Porter School <br> Winn House","c(-71.0669430633826, 42.5118340985531)",school
Wakefield,MA,1835,Franklin Poole House,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b> Wakefield, MA </b> <br> Porter School <br> Franklin Poole House","c(-71.0634369567677, 42.4951386702347)",school
Wakefield,MA,1835,Lilly Eaton House,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b> Wakefield, MA </b> <br> Porter School <br> Lilly Eaton House","c(-71.0707257073744, 42.5036011663465)",school
Wakefield,MA,1835,Thomas Walton House,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b> Wakefield, MA </b> <br> Porter School <br> Thomas Walton House","c(-71.0813961202238, 42.4964782125383)",school
Wakefield,MA,1835,Kenneth Odiorne House,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b> Wakefield, MA </b> <br> Porter School <br> Kenneth Odiorne House","c(-71.0769941007778, 42.4914943312866)",school
West Boxford,MA,1838,John A. Andrew House,Porter School,mural,Lipman,NA,color plate 12,"West Boxford, MA","<b> West Boxford, MA </b> <br> Porter School <br> John A. Andrew House","c(-71.0644922748711, 42.7133787727366)",school
West Boxford,MA,1838,Joseph Burgson House,Porter School,mural,Lipman,NA,NA,"West Boxford, MA","<b> West Boxford, MA </b> <br> Porter School <br> Joseph Burgson House","c(-71.0567968133249, 42.7192027032466)",school
West Boxford,MA,1838,Hovey House,Porter School,mural,Lipman,NA,NA,"West Boxford, MA","<b> West Boxford, MA </b> <br> Porter School <br> Hovey House","c(-71.0660868594384, 42.7134385250217)",school
Westwood,MA,1838,Reuben Guild House,Rufus Porter and Stephen Twombly Porter,mural,Lipman,NA,NA,"Westwood, MA","<b> Westwood, MA </b> <br> Rufus Porter and Stephen Twombly Porter <br> Reuben Guild House","c(-71.2329202347572, 42.2075936345995)",rp_mural
Westwood,MA,1838,Allen House,Rufus Porter and Stephen Twombly Porter,mural,Lipman,NA,NA,"Westwood, MA","<b> Westwood, MA </b> <br> Rufus Porter and Stephen Twombly Porter <br> Allen House","c(-71.2159132321881, 42.2042752684172)",rp_mural
